Sort	Isolate Sort	Realm	Subrealm	Kingdom	Subkingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	Exemplar or additional isolate	Virus name(s)	Virus name abbreviation(s)	Virus isolate designation	Virus GENBANK accession	Virus REFSEQ accession	Genome coverage	Genome composition	Host source	File_identifier
3507	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mcgonagallvirus		Mcgonagallvirus macgonagall	E	Gordonia phage McGonagall			KU998255	NC_030912	Complete genome	dsDNA	bacteria	Mcgonagallvirus_macgonagall.3507.KU998255
3508	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Meadowvirus		Meadowvirus AH04	E	Erwinia phage AH04			MZ501267		Complete genome	dsDNA	bacteria	Meadowvirus_AH04.3508.MZ501267
3509	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mementomorivirus		Mementomorivirus mementomori	E	Microbacterium phage MementoMori			MH271303	NC_047987	Complete genome	dsDNA	bacteria	Mementomorivirus_mementomori.3509.MH271303
3510	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Menderavirus		Menderavirus IMESM1	E	Stenotrophomonas phage IME-SM1			KR560069	NC_054952	Complete genome	dsDNA	bacteria	Menderavirus_IMESM1.3510.KR560069
3511	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Menderavirus		Menderavirus mendera	E	Stenotrophomonas phage Mendera			MN098328	NC_048804	Complete genome	dsDNA	bacteria	Menderavirus_mendera.3511.MN098328
3512	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Menderavirus		Menderavirus moby	E	Stenotrophomonas phage Moby			MN095772	NC_048802	Complete genome	dsDNA	bacteria	Menderavirus_moby.3512.MN095772
3513	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Menderavirus		Menderavirus Ps15	E	Stenotrophomonas maltophilia phage vB_SmaM_Ps15			OL702939		Complete genome	dsDNA	bacteria	Menderavirus_Ps15.3513.OL702939
3514	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Metamorphoovirus		Metamorphoovirus fireman	E	Microbacterium phage Fireman			MK524510	NC_048165	Complete genome	dsDNA	bacteria	Metamorphoovirus_fireman.3514.MK524510
3515	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Metamorphoovirus		Metamorphoovirus metamorphoo	E	Microbacterium phage Metamorphoo			MH271304	NC_047988	Complete genome	dsDNA	bacteria	Metamorphoovirus_metamorphoo.3515.MH271304
3516	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Metamorphoovirus		Metamorphoovirus robsfeet	E	Microbacterium phage RobsFeet			MH271312	NC_047989	Complete genome	dsDNA	bacteria	Metamorphoovirus_robsfeet.3516.MH271312
3517	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Metrivirus		Metrivirus ME3	E	Acinetobacter phage vB_AbaM_ME3			KU935715	NC_041884	Complete genome	dsDNA	bacteria	Metrivirus_ME3.3517.KU935715
3518	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Miamivirus		Miamivirus miami	E	Klebsiella phage Miami			MT701590	NC_070950	Complete genome	dsDNA	bacteria	Miamivirus_miami.3518.MT701590
3519	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Micavirus		Micavirus Mica	E	Burkholderia phage Mica			MT701586	NC_054148	Complete genome	dsDNA	bacteria	Micavirus_Mica.3519.MT701586
3520	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus Bxz2	E	Mycobacterium phage Bxz2			AY129332	NC_004682	Complete genome	dsDNA	bacteria	Microwolfvirus_Bxz2.3520.AY129332
3521	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus JHC117	E	Mycobacterium phage JHC117			JF704098	NC_042310	Complete genome	dsDNA	bacteria	Microwolfvirus_JHC117.3521.JF704098
3522	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus microwolf	E	Mycobacterium phage Microwolf			JF704101	NC_042311	Complete genome	dsDNA	bacteria	Microwolfvirus_microwolf.3522.JF704101
3523	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus purplehaze	E	Mycobacterium phage Purple Haze			KY965063	NC_054759	Complete genome	dsDNA	bacteria	Microwolfvirus_purplehaze.3523.KY965063
3524	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus soildragon	E	Mycobacterium phage SoilDragon			MN062718	NC_054760	Complete genome	dsDNA	bacteria	Microwolfvirus_soildragon.3524.MN062718
3525	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus wonder	E	Mycobacterium phage Wonder			HM755814	NC_042058	Complete genome	dsDNA	bacteria	Microwolfvirus_wonder.3525.HM755814
3526	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Microwolfvirus		Microwolfvirus zetzy	E	Mycobacterium phage Zetzy			MK279903	NC_054761	Complete genome	dsDNA	bacteria	Microwolfvirus_zetzy.3526.MK279903
3527	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Midgardsormrvirus		Midgardsormrvirus midgardsormr38	E	Erwinia phage Midgardsormr38			MN602881		Complete genome	dsDNA	bacteria	Midgardsormrvirus_midgardsormr38.3527.MN602881
3528	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mieseafarmvirus		Mieseafarmvirus RSL1	E	Ralstonia phage phiRSL1			AB366653	NC_010811	Complete genome	dsDNA	bacteria	Mieseafarmvirus_RSL1.3528.AB366653
3529	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Miltoncavirus		Miltoncavirus PhiPA3	E	Pseudomonas phage PhiPA3			HQ630627	NC_028999	Complete genome	dsDNA	bacteria	Miltoncavirus_PhiPA3.3529.HQ630627
3530	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mimasvirus		Mimasvirus CBB	E	Pectinobbacterium phage vB_PcaM_CBB			KU574722	NC_041878	Complete genome	dsDNA	bacteria	Mimasvirus_CBB.3530.KU574722
3531	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mimasvirus		Mimasvirus GAP32	E	Cronobacter phage vB_CsaM_GAP32			JN882285	NC_019401	Complete genome	dsDNA	bacteria	Mimasvirus_GAP32.3531.JN882285
3532	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Minunavirus		Minunavirus Min1	E	Microbacterium phage Min1			EF579802	NC_009603	Complete genome	dsDNA	bacteria	Minunavirus_Min1.3532.EF579802
3533	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Moabitevirus		Moabitevirus moabite	E	Serratia phage Moabite			MK994515	NC_048792	Complete genome	dsDNA	bacteria	Moabitevirus_moabite.3533.MK994515
3534	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Moabitevirus		Moabitevirus mv2050HW	E	Serratia phage vB_SmaM_ 2050HW			MF285618	NC_048668	Complete genome	dsDNA	bacteria	Moabitevirus_mv2050HW.3534.MF285618
3535	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mohonavirus		Mohonavirus ICP1	E	Vibrio phage ICP1			HQ641347	NC_015157	Complete genome	dsDNA	bacteria	Mohonavirus_ICP1.3535.HQ641347
3536	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mollymurvirus		Mollymurvirus mollymur	E	Gordonia phage Mollymur			MK977705		Complete genome	dsDNA	bacteria	Mollymurvirus_mollymur.3536.MK977705
3537	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus adgers	E	Gordonia phage Adgers			MG757152	NC_048695	Complete genome	dsDNA	bacteria	Montyvirus_adgers.3537.MG757152
3538	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus beaver	E	Gordonia phage Beaver			MK967390	NC_048783	Complete genome	dsDNA	bacteria	Montyvirus_beaver.3538.MK967390
3539	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus birksandsocks	E	Gordonia phage Birksandsocks			MG099940	NC_047892	Complete genome	dsDNA	bacteria	Montyvirus_birksandsocks.3539.MG099940
3540	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus chelms	E	Gordonia phage Chelms			MK801733	NC_048768	Complete genome	dsDNA	bacteria	Montyvirus_chelms.3540.MK801733
3541	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus flakey	E	Gordonia phage Flakey			MG770211	NC_047921	Complete genome	dsDNA	bacteria	Montyvirus_flakey.3541.MG770211
3542	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus jellybones	E	Gordonia phage Jellybones			MN444874	NC_048820	Complete genome	dsDNA	bacteria	Montyvirus_jellybones.3542.MN444874
3543	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus john316	E	Gordonia phage John316			MN945905	NC_048851	Complete genome	dsDNA	bacteria	Montyvirus_john316.3543.MN945905
3544	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus monty	E	Gordonia phage Monty			KU998241	NC_030924	Complete genome	dsDNA	bacteria	Montyvirus_monty.3544.KU998241
3545	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus sombrero	E	Gordonia phage Sombrero			MK359302	NC_048746	Complete genome	dsDNA	bacteria	Montyvirus_sombrero.3545.MK359302
3546	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Montyvirus		Montyvirus stevefrench	E	Gordonia phage SteveFrench			MG770214	NC_048207	Complete genome	dsDNA	bacteria	Montyvirus_stevefrench.3546.MG770214
3547	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Moturavirus		Moturavirus motura	E	Achromobacter phage Motura			MN094788	NC_049849	Complete genome	dsDNA	bacteria	Moturavirus_motura.3547.MN094788
3548	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus arcadia	E	Arthrobacter phage Arcadia			MF189170		Complete genome	dsDNA	bacteria	Mudcatvirus_arcadia.3548.MF189170
3549	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus cheesy	E	Arthrobacter phage Cheesy			MF324906		Complete genome	dsDNA	bacteria	Mudcatvirus_cheesy.3549.MF324906
3550	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus circum	E	Arthrobacter phage Circum			KU160642	NC_041948	Complete genome	dsDNA	bacteria	Mudcatvirus_circum.3550.KU160642
3551	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus correa	E	Arthrobacter phage Correa			MF189171		Complete genome	dsDNA	bacteria	Mudcatvirus_correa.3551.MF189171
3552	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus dynamite	E	Arthrobacter phage Dynamite			MZ747520		Complete genome	dsDNA	bacteria	Mudcatvirus_dynamite.3552.MZ747520
3553	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus heisenberger	E	Arthrobacter phage Heisenberger			MF189173		Complete genome	dsDNA	bacteria	Mudcatvirus_heisenberger.3553.MF189173
3554	1	Duplodnaviria		Heunggongvirae		Uroviricota		Caudoviricetes						Mudcatvirus		Mudcatvirus JEGGS	E	Arthrobacter phage JEGGS			MK967398		Complete genome	dsDNA	bacteria	Mudcatvirus_JEGGS.3554.MK967398
